,period_begin,period_end,region_type,region_type_id,region_name,region_id,duration,adjusted_average_homes_sold,active_listings
462447,2018-08-27,2018-09-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,216.0,1505
496850,2018-10-08,2018-10-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,230.0,2298
496907,2018-10-15,2018-10-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,249.0,2307
502311,2018-11-19,2018-11-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,180.0,1904
502368,2018-11-26,2018-12-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,242.0,1892
510412,2018-12-03,2018-12-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,196.0,1722
569927,2019-05-27,2019-06-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,229.0,1785
569984,2019-06-03,2019-06-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,256.0,1848
596055,2019-01-07,2019-01-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,132.0,1217
604908,2019-10-21,2019-10-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,265.0,2420
610774,2019-05-20,2019-05-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,267.0,1735
620190,2019-01-14,2019-01-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,116.0,1327
620247,2019-01-21,2019-01-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,81.0,1471
623648,2019-02-04,2019-02-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,103.0,1599
623705,2019-02-11,2019-02-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,158.0,1592
625033,2019-01-28,2019-02-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,107.0,1509
637021,2019-06-24,2019-06-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,246.0,1829
645409,2019-06-10,2019-06-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,256.0,1870
645466,2019-06-17,2019-06-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,238.0,1878
652164,2019-05-13,2019-05-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,255.0,1792
653257,2019-04-29,2019-05-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,306.0,1788
653314,2019-05-06,2019-05-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,256.0,1813
664597,2019-07-01,2019-07-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,190.0,1669
664654,2019-07-08,2019-07-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,238.0,1745
666485,2019-04-08,2019-04-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,271.0,1676
666542,2019-04-15,2019-04-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,211.0,1624
681280,2019-03-04,2019-03-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,189.0,1647
681336,2019-03-11,2019-03-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,182.0,1677
694081,2019-03-18,2019-03-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,250.0,1684
695816,2019-03-25,2019-03-31,metro,-2,"San Francisco, CA metro area",41884,1 weeks,222.0,1665
695871,2019-04-01,2019-04-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,211.0,1642
714021,2019-04-22,2019-04-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,249.0,1717
729695,2018-12-10,2018-12-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,173.0,1556
741692,2019-07-15,2019-07-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,245.0,1753
741749,2019-07-22,2019-07-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,214.0,1781
777929,2019-02-18,2019-02-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,169.0,1599
777985,2019-02-25,2019-03-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,210.0,1636
785844,2019-10-28,2019-11-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,247.0,2335
785901,2019-11-04,2019-11-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,237.0,2230
801407,2019-08-12,2019-08-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,189.0,1643
826080,2019-12-02,2019-12-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,227.0,1616
826137,2019-12-09,2019-12-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,220.0,1438
839756,2019-10-07,2019-10-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,229.0,2403
839813,2019-10-14,2019-10-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,220.0,2454
841856,2019-09-23,2019-09-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,168.0,2337
841913,2019-09-30,2019-10-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,212.0,2400
859328,2019-12-30,2020-01-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,126.0,990
873082,2019-08-19,2019-08-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,226.0,1631
873139,2019-08-26,2019-09-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,222.0,1611
927642,2019-09-09,2019-09-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,190.0,2140
927699,2019-09-16,2019-09-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,174.0,2297
929231,2019-09-02,2019-09-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,166.0,1882
931325,2019-12-16,2019-12-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,210.0,1238
931382,2019-12-23,2019-12-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,128.0,1007
957184,2019-07-29,2019-08-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,202.0,1720
957241,2019-08-05,2019-08-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,175.0,1643
995108,2020-04-13,2020-04-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,107.0,1476
1003128,2020-01-27,2020-02-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,118.0,1211
1019264,2020-05-04,2020-05-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,91.0,1723
1025189,2019-11-18,2019-11-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,232.0,1943
1025246,2019-11-25,2019-12-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,188.0,1727
1042632,2020-01-13,2020-01-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,142.0,1103
1042689,2020-01-20,2020-01-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,81.0,1198
1060243,2020-10-05,2020-10-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,287.0,3619
1063179,2020-06-08,2020-06-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,167.0,2295
1063236,2020-06-15,2020-06-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,187.0,2401
1071398,2020-03-02,2020-03-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,194.0,1694
1071455,2020-03-09,2020-03-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,185.0,1751
1071982,2020-03-16,2020-03-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,199.0,1635
1072039,2020-03-23,2020-03-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,181.0,1383
1097370,2020-09-21,2020-09-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,260.0,3561
1118790,2020-02-17,2020-02-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,149.0,1529
1118847,2020-02-24,2020-03-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,186.0,1623
1123649,2020-03-30,2020-04-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,152.0,1375
1123706,2020-04-06,2020-04-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,116.0,1408
1142401,2020-02-03,2020-02-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,119.0,1390
1142458,2020-02-10,2020-02-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,164.0,1453
1145499,2020-09-14,2020-09-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,283.0,3463
1168198,2020-01-06,2020-01-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,157.0,1010
1181369,2019-11-11,2019-11-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,221.0,2122
1203916,2020-07-06,2020-07-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,216.0,2591
1203973,2020-07-13,2020-07-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,240.0,2706
